nm, A
1704.000000, 0.624112
1703.000000, 0.502058
1702.000000, 10.000000
1701.000000, 0.588833
1700.000000, 0.370959
1699.000000, 0.088958
1698.000000, 0.396716
1697.000000, 0.695466
1696.000000, 0.711959
1695.000000, 0.736392
1694.000000, 10.000000
1693.000000, 0.140168
1692.000000, 0.235435
1691.000000, -0.108812
1690.000000, -0.306958
1689.000000, 0.270475
1688.000000, 0.236294
1687.000000, 0.372960
1686.000000, 10.000000
1685.000000, 10.000000
1684.000000, 10.000000
1683.000000, 0.648287
1682.000000, 10.000000
1681.000000, 10.000000
1680.000000, -0.037743
1679.000000, 0.145531
1678.000000, 1.120967
1677.000000, -0.016790
1676.000000, 0.177553
1675.000000, 0.185353
1674.000000, -0.088046
1673.000000, 0.639613
1672.000000, 0.177682
1671.000000, 0.229858
1670.000000, 0.032891
1669.000000, 10.000000
1668.000000, 0.083496
1667.000000, -0.400208
1666.000000, 10.000000
1665.000000, 0.363375
1664.000000, 10.000000
1663.000000, 0.598822
1662.000000, 10.000000
1661.000000, -0.020593
1660.000000, -0.259968
1659.000000, 0.478241
1658.000000, -0.035190
1657.000000, 0.033032
1656.000000, -0.153956
1655.000000, 10.000000
1654.000000, 10.000000
1653.000000, 0.522036
1652.000000, -0.035117
1651.000000, -0.341398
1650.000000, 0.772224
1649.000000, 10.000000
1648.000000, 10.000000
1647.000000, 10.000000
1646.000000, 10.000000
1645.000000, 10.000000
1644.000000, 10.000000
1643.000000, -0.041025
1642.000000, -0.388125
1641.000000, 10.000000
1640.000000, 0.800522
1639.000000, 0.385308
1638.000000, 0.413070
1637.000000, 0.131636
1636.000000, -0.068541
1635.000000, 10.000000
1634.000000, 10.000000
1633.000000, 10.000000
1632.000000, 10.000000
1631.000000, 10.000000
1630.000000, 10.000000
1629.000000, 0.890472
1628.000000, -0.550682
1627.000000, -0.452404
1626.000000, 10.000000
1625.000000, 10.000000
1624.000000, 0.372308
1623.000000, 0.451815
1622.000000, 0.330925
1621.000000, 0.100919
1620.000000, 0.341049
1619.000000, 0.551967
1618.000000, 0.104375
1617.000000, 0.005114
1616.000000, 1.551510
1615.000000, -0.208580
1614.000000, -0.195959
1613.000000, 10.000000
1612.000000, -0.591252
1611.000000, -0.612668
1610.000000, 10.000000
1609.000000, 10.000000
1608.000000, 10.000000
1607.000000, 10.000000
1606.000000, 10.000000
1605.000000, 10.000000
1604.000000, 0.063854
1603.000000, -0.211883
1602.000000, 10.000000
1601.000000, 10.000000
1600.000000, 10.000000
1599.000000, 10.000000
1598.000000, 10.000000
1597.000000, 0.525016
1596.000000, -0.981726
1595.000000, -1.088622
1594.000000, -0.639373
1593.000000, 0.263831
1592.000000, 10.000000
1591.000000, 0.547418
1590.000000, 0.159704
1589.000000, -0.101409
1588.000000, 0.535712
1587.000000, 10.000000
1586.000000, 10.000000
1585.000000, 10.000000
1584.000000, 10.000000
1583.000000, 0.461668
1582.000000, -0.219153
1581.000000, -0.206847
1580.000000, 0.596485
1579.000000, 0.328464
1578.000000, 0.323778
1577.000000, -0.191192
1576.000000, -0.848888
1575.000000, -0.366959
1574.000000, 10.000000
1573.000000, 0.243038
1572.000000, 10.000000
1571.000000, -1.436336
1570.000000, -1.155766
1569.000000, 10.000000
1568.000000, 10.000000
1567.000000, 10.000000
1566.000000, 10.000000
1565.000000, 0.464021
1564.000000, 0.108808
1563.000000, 10.000000
1562.000000, 10.000000
1561.000000, 10.000000
1560.000000, 10.000000
1559.000000, -1.233774
1558.000000, -0.895896
1557.000000, 10.000000
1556.000000, 10.000000
1555.000000, 0.543968
1554.000000, 10.000000
1553.000000, 10.000000
1552.000000, 0.540496
